"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar productos","Agregar dos productos al carrito de compras","ERROR","2025-08-17T19:12:18.8562821-05:00[America/Bogota]","0.0","15.24"
"Finalizar compra como Guest Checkout","Usuario invitado completa una compra exitosa","SUCCESS","2025-09-12T13:40:59.6952371-05:00[America/Bogota]","0.0","14.2"
